EDW948,Edwin,Antony,finance@csmegb.org,password,Employee,
JOH171,John,Adams,jAdams@csmegb.org,pleaseputs,Employee,
ALL646,Allison,Clatworthy,accounting@csmegb.org,SilliconeLeaf320,Employee,
JOS481,Joshua,Dunn,email@csmegb.org,clueless,Senior Manager,
AND192,Andrea,Tuvalu,astuvalu392@csmegb.org,PleaseHidePassword,Auditor
WIL317,Willian,Smithson,WillsSmith@csmegb.org,PlaintextPassword,Auditor
PHI651,Phils,Antoine,phillipe@csmegb.org,PasswordProtection,Employee
PHI979,Phillip,Mcaffine,philipcoffee@csmegb.org,PleasePutaPasswordOn,Auditor
PHI659,Phillipino,Mylands,philliplands@csmegb.org,auditordetailsrocks,Auditor
PHI881,Phillipo,Jeffery,phillipoj@csmegb.org,PhillipoRules,Senior Manager
FRA860,Franz,Lizist,fransizst@csmegb.org,Igotforcedintothis,Auditor
FRA743,Franco,Lisizto,frankenstien@csmegb.org,detailsplease,Auditor
JAC927,Jacob,Hayden,jhades@csmegb.org,jacobhaydenischeeky,Auditor
SHR794,Shrek,Zimmer,ShrekZims@csmegb.org,enoughReggie,Auditor
JAM945,Jamie,Smithson,jasmithson@csmegb.org,JamieSmithy,Senior Manager
HUG225,Hugh,Grant,hugranted@csmegb.org,hughGrants,Senior Manager
STE707,Stephen,Mulhern,StevenMulhern@csmegb.org,stevejobs,Senior Manager
