ALL646,Allison,Clatworthy,accounting@csmegb.org,SilliconeLeaf320,Employee,
AND192,Andrea,Tuvalu,astuvalu392@csmegb.org,PleaseHidePassword,Auditor
EDW948,Edwin,Antony,finance@csmegb.org,password,Employee,
FRA743,Franco,Lisizto,frankenstien@csmegb.org,detailsplease,Auditor
FRA860,Franz,Lizist,fransizst@csmegb.org,Igotforcedintothis,Auditor
GRE748,Gregory,Smith,grsmith@csmegb.org,detailsPlease,Employee
HUG225,Hugh,Grant,hugranted@csmegb.org,hughGrants,Senior Manager
JAC927,Jacob,Hayden,jhades@csmegb.org,jacobhaydenischeeky,Auditor
JAM945,Jamie,Smithson,jasmithson@csmegb.org,JamieSmithy,Senior Manager
JOH171,John,Adams,jAdams@csmegb.org,pleaseputs,Employee,
JOS481,Joshua,Dunn,email@csmegb.org,clueless,Senior Manager,
PHI651,Phils,Antoine,phillipe@csmegb.org,PasswordProtection,Employee
PHI659,Phillipino,Mylands,philliplands@csmegb.org,auditordetailsrocks,Auditor
PHI881,Phillipo,Jeffery,phillipoj@csmegb.org,PhillipoRules,Senior Manager
PHI979,Phillip,Mcaffine,philipcoffee@csmegb.org,PleasePutaPasswordOn,Auditor
SHR794,Shrek,Zimmer,ShrekZims@csmegb.org,enoughReggie,Auditor
STE707,Stephen,Mulhern,StevenMulhern@csmegb.org,stevejobs,Senior Manager
WIL317,Willian,Smithson,WillsSmith@csmegb.org,PlaintextPassword,Auditor
